id,title,category,date,kit,scale
post-0001,Churchill bridge layer Tank,military,2025-08-20,Matchbox,1/72
post-0002,Matilda Tank,military,2025-08-18,Scale: 1/35,1/35
post-0003,US Medium Tank M3,military,2025-08-12,Scale: 1/35,1/35
post-0004,Opel Blitz,car,2025-05-25,Revell,1/35
post-0005,Austin CWT 3 tons,car,2025-05-25,Airfix,1/35
post-0006,Aeritalia Macchi Embraer AMX,aircraft,2025-05-20,Trumpeter,1/48 3 Aerobrigata 'Buscaglia'
post-0007,Eurofighter Typhoon,aircraft,2025-05-16,Revell,1/32
post-0008,Pilatus PC6,aircraft,2025-05-13,Heller,1/48
post-0009,28cm Sturm Moerser on T38 D,military,2025-05-11,Amusing Hobby,1/35
post-0010,Lockheed P80 Shooting Star,aircraft,2025-05-08,Airfix,1/72
post-0011,Lockheed F104 S ASA,aircraft,2025-05-06,Revell Scale: 1/32,
post-0012,Fokker Dr. I,aircraft,2025-05-03,Revell,1/72
post-0013,Alexeyev I-215,aircraft,2025-05-01,Amodel,1/72
post-0014,Martin Baker MB6 Sky Ferret,aircraft,2025-04-29,AZ Models,1772
post-0015,"Hull of Panzerselbstfahrlafette für 12,8-cm-Kanone 40",military,2025-04-17,Trumpeter,1/35
post-0016,Special Air Service Jeep,military,2025-04-16,Revell,1/72
post-0017,M7 Gun Motor Carriage 105mm 'Priest',military,2025-04-16,Revell,1772
post-0018,Sturmgeschütz III with 105mm gun,military,2025-04-15,Revell,1/72
post-0019,Panzer II,military,2025-04-14,Revell,1/72
post-0020,SPAD XIII,aircraft,2025-04-12,Revell,1/72
post-0021,SPAD S.A. 2,aircraft,2025-04-10,Amodel,1/72
post-0022,Sturmgeschütz IV (Sd.Kfz. 167/ StuG IV),military,2025-03-27,Bandai,1/16
post-0023,German Panzerjager 39(H) mit 7.5cm Pak40/1 Marder,military,2025-03-26,Trumpeter,1/35
post-0024,Toyota bB,car,2025-03-26,Tamiya,1/24
post-0025,Ford Mustang,car,2025-03-26,Revell,1/12
post-0026,U Boot Type XXVII 'Seehund',ship,2025-03-25,Revell,1/72
post-0027,Ford Capri Group 5,car,2025-03-25,Tamiya,1/24
post-0028,Ford Capri Gr. 5,car,2025-03-25,Tamiya,1/24
post-0029,Porsche 911 GT1,car,2025-03-25,Tamiya,1/24
post-0030,T90 Tank,military,2025-03-25,Revell,1/72
post-0031,Alpine Renault A442B Turbo,car,2025-03-25,Tamiya,1/24
post-0032,Caterham Seven,car,2025-03-25,Tamiya,1/24
post-0033,Nissan Nismo GT-R Xanavi,car,2025-03-24,Tamiya,1/24
post-0034,DeHavilland DH2,aircraft,2025-03-24,Revell,1/72
post-0035,De Havilland Sea Venom FAW.22,aircraft,2025-03-23,Revell,1/32
post-0036,Ford Taurus Sock Car 'Valvoline',car,2025-03-23,AMT-Ertl,1/25
post-0037,JS3 Soviet Tank,military,2025-03-23,Zvezda,1/35
post-0038,Ice `T`,car,2025-03-23,Monogram,1/24
post-0039,Brabham BT46B,car,2025-03-23,Hasegawa,1/24
post-0040,Brabham BT49,car,2025-03-22,Hasegawa,1/24
post-0041,Brabham BT46 Launch event,car,2025-03-22,Hasegawa,1/24
post-0042,Lockheed P38 J-20-LO Lightning,aircraft,2025-03-22,Revell,1/32
post-0043,Cobra 427 cu. in.,car,2025-03-22,AMT,1/16
post-0044,Fictional Northrop B2,aircraft,2025-03-21,Revell,
post-0045,McDonnell Douglas AV-8B Harrier,aircraft,2025-03-21,Monogram,1/48
post-0046,Kawasaki Ki100,aircraft,2025-03-20,Arii,1/48
post-0047,Macchi MC200 Saetta,aircraft,2025-03-20,SMER,1/48
post-0048,Lockheed YF22,aircraft,2025-03-20,Revell,1/32
post-0049,Douglas A20 G Havoc,aircraft,2025-03-20,AMT/ERTL,1/48
post-0050,Lockheed C130 Hercules,aircraft,2025-03-19,Airfix,1/72
post-0051,Vought F7U-3M Cutlass,aircraft,2025-03-19,Fujimi,1/72
post-0052,British Main Battle Tank Challenger,military,2025-03-18,Revell,1/72
post-0053,Leclerc french main battle tank,military,2025-03-18,Revell,
post-0054,SAAB Gripen Twin Seat,aircraft,2025-03-17,Italeri,1/72
post-0055,SAAB Gripen Single Seater,aircraft,2025-03-17,Italeri,
post-0056,Iowa class battleship,ship,2025-03-16,unknown,unknown
post-0057,Hawker Siddley Harrier T2,aircraft,2025-03-16,Airfix,1/72
post-0058,Convair XFY-1 Pogo,aircraft,2025-03-16,KoPro,1/72
post-0059,Boeing SST,aircraft,2025-03-15,Revell,1/144
post-0060,Blohm und Voss Ae607,aircraft,2025-03-15,scratch built,1/32
post-0061,General Dynamics F16,aircraft,2025-03-14,Hobbycraft,1/48
post-0062,Lockheed C121 C Constellation,aircraft,2025-03-13,Revell,1/144
post-0063,Cessna 500 Citation I,aircraft,2025-03-12,Revell,
post-0064,ASK 21 glider,aircraft,2025-03-12,Revell,1/32
post-0065,Schempp-Hirth Duo Discus,aircraft,2025-03-12,Revell,1/32
post-0066,M12 gun motor carriage,military,2025-03-10,Matchbox,
post-0067,Alpine A310,car,2025-02-15,Revell,1/43
post-0068,Ilyushin Il40p,aircraft,2025-02-11,Amodel,1/72
post-0069,Mig 17,aircraft,2025-02-04,KP,1/72
post-0070,Blohm und Voss BV 155 V1,aircraft,2024-09-20,Airmodel vacform,1/72
post-0071,Dornier Do217 K1,aircraft,2024-09-20,Italeri,1/72
post-0072,Dornier Do217 N2,aircraft,2024-09-20,conversion from Airfix,1/72
post-0073,Messerschmitt P1101,aircraft,2024-09-20,Revell,1/72
post-0074,Messerschmitt Me163B,aircraft,2024-09-20,Airfix,1/72
post-0075,Lippisch P13b,aircraft,2024-09-20,scratchbuilt,1/72
post-0076,Junkers Ju188 A1,aircraft,2024-09-20,Italeri,1/72
post-0077,Skoda Kauba,aircraft,2024-09-20,resin,1/72
post-0078,Blohm&Voss P211,aircraft,2024-09-20,Special Hobby,1/72
post-0079,Lippisch P13a with turbojet power,aircraft,2024-09-20,sctratchbuilt,1/72
post-0080,Junkers Ju87 G,aircraft,2024-09-20,Revell,1/72
post-0081,Payen Pa22,aircraft,2024-09-20,resin,1/72
post-0082,Messerschmitt P1106,aircraft,2024-09-20,HUMA,1/72
post-0083,Messerschmitt Me109 H1,aircraft,2024-09-20,MPM,1/72
post-0084,Focke Wulf Ta154,aircraft,2024-09-20,Pioneer2,1/72
post-0085,Mcdonnell F101 Voodoo,aircraft,2024-09-20,Hasegawa,1/72
post-0086,Avia S199,aircraft,2024-09-20,KOPRO,1/72
post-0087,Focke Wulf FW190 A8 'Rammbock',aircraft,2024-09-20,"Airfix conversion to heavy assault fighter Jagdgeschwader 4, November 1944",1/72
post-0088,Northrop YF23 A,aircraft,2024-09-20,Italeeri,1/72
post-0089,Messerschmitt Me309,aircraft,2024-09-20,HUMA,1/72 #Me309
post-0090,Focke Wulf FW 190 A8 Torpedo Carrier,aircraft,2024-09-20,Revell,1/72
post-0091,Messerschmitt Me509,aircraft,2024-09-20,conversion from Huma,1/72
post-0092,Focke Wulf Ta154,aircraft,2024-09-20,Conversion from PM Models,1/72 #Ta154
post-0093,Reggiane Re 2002 'Ariete',aircraft,2024-09-20,Supermodel,1/72
post-0094,Heinkel He 100,aircraft,2024-09-20,MPM,1/72
post-0095,Dassault Mirage III Twin Seater,aircraft,2024-09-20,conversion from Airfix,1/72
post-0096,Arado Ar 96,aircraft,2024-09-19,KOPRO,1/72
post-0097,SAAB J-29 F Tunnan,aircraft,2024-09-19,Matchbox,1/72
